Month,Financial_Year,Banks_Live,UPI_Volume_Mn,UPI_Value_Cr,Month_Start_Date,Year,Month_Number,Quarter,Avg_Transaction_Value,MoM_Volume_Growth_%,MoM_Value_Growth_%,YoY_Volume_Growth_%,YoY_Value_Growth_%,Month_Name,Calendar_Quarter
May-2025,2025-26,673,18677.46,2514297.01,2025-05-01,2025,5,Q1,134.6166454110998,4.38,4.98,33.07,22.95,May,2
June-2025,2025-26,675,18395.01,2403930.69,2025-06-01,2025,6,Q1,130.6838479565926,-1.51,-4.39,32.48,19.77,June,2
July-2025,2025-26,684,19467.95,2508498.09,2025-07-01,2025,7,Q2,128.85270868273238,5.83,4.35,34.86,21.52,July,3
August-2025,2025-26,688,20008.31,2485472.91,2025-08-01,2025,8,Q2,124.22203124601728,2.78,-0.92,33.72,20.61,August,3
September-2025,2025-26,686,19633.43,2489736.54,2025-09-01,2025,9,Q2,126.81108395221823,-1.87,0.17,30.53,20.63,September,3
October-2025,2025-26,683,20700.92,2727790.68,2025-10-01,2025,10,Q3,131.7714710264085,5.44,9.56,24.82,16.09,October,4
November-2025,2025-26,684,20466.98,2631632.63,2025-11-01,2025,11,Q3,128.57943038005607,-1.13,-3.53,32.2,22.11,November,4
December-2025,2025-26,685,21634.67,2796712.73,2025-12-01,2025,12,Q3,129.26995096296824,5.71,6.27,29.32,20.3,December,4
January-2026,2025-26,691,21703.44,2833481.22,2026-01-01,2026,1,Q4,130.55447523526226,0.32,1.31,27.7,20.67,January,1
February-2026,2025-26,694,20394.18,2684229.29,2026-02-01,2026,2,Q4,131.6174168316647,-6.03,-5.27,26.62,22.21,February,1
March-2026,2025-26,705,22641.11,2952542.05,2026-03-01,2026,3,Q4,130.40624112510383,11.02,10.0,23.71,19.19,March,1
April-2026,2026-27,713,22346.8,2902988.05,2026-04-01,2026,4,Q1,129.9062080476847,-1.3,-1.68,24.89,21.21,April,2
May-2026,2026-27,720,23201.93,2990424.21,2026-05-01,2026,5,Q1,128.88687320408258,3.83,3.01,24.22,18.94,May,2
June-2026,2026-27,731,22716.07,2892138.67,2026-06-01,2026,6,Q1,127.31685850589473,-2.09,-3.29,23.49,20.31,June,2
